msi_co_view_name
ZCD_KST_RAYON
ZCD_KST_REGBEZIRK
ZCD_KST_RON
ZCD_KST_RO_ONLINETYP
ZCD_KST_RWS_GRP
ZCD_KST_R_ATTRIBUTES
ZCD_KST_SCHLIESSUNGSGRUND
ZCD_KST_SERVICE_USER
ZCD_KST_SPERRKENZ_IST_PRI
ZCD_KST_SPERRKENZ_IST_SEK
ZCD_KST_SPERRKENZ_PLAN_PRI
ZCD_KST_SPERRKENZ_PLAN_SEK
ZCD_KST_TAG_NZE_GVF
ZCD_KST_UMBAUKONZEPT
ZCD_KST_UMBS_TYP
ZCD_KST_UORG01_GRUPPE
ZCD_KST_UORG01_GRUPPE_AKT
ZCD_KST_UORG01_GRUPPE_JAHR_ULTM
ZCD_KST_UORG02_KONZERN
ZCD_KST_UORG02_KONZERN_AKT
ZCD_KST_UORG02_KONZERN_JAHR_ULTM
ZCD_KST_UORG03_GF
ZCD_KST_UORG03_GF_AKT
ZCD_KST_UORG03_GF_JAHR_ULTM
ZCD_KST_UORG04_SPARTE
ZCD_KST_UORG04_SPARTE_AKT
ZCD_KST_UORG04_SPARTE_JAHR_ULTM
ZCD_KST_UORG05_SEGMENT
ZCD_KST_UORG05_SEGMENT_AKT
ZCD_KST_UORG05_SEGMENT_JAHR_ULTM
ZCD_KST_UORG06_KE
ZCD_KST_UORG06_KE_AKT
ZCD_KST_UORG06_KE_JAHR_ULTM
ZCD_KST_UORG06_KE_MSI
ZCD_KST_UORG_DE
ZCD_KST_UORG_DE_AKT
ZCD_KST_UORG_DE_JAHR_ULTM
ZCD_KST_UORG_DUMMY_ID
